2;189;189;1
107;69;44;44
61;160;154;77
14;169;182;27
34;184;100;25
146;107;178;58
188;180;197;123
94;160;178;141
45;194;136;170
115;151;76;90
139;101;113;60
139;160;163;142
36;186;188;90
197;15;149;30
110;109;106;108
68;166;55;75
87;133;74;195
87;14;24;162
59;134;103;35
27;96;10;112
137;104;84;173
132;12;12;52
123;31;87;145
33;50;82;152
195;153;89;123
54;46;105;74
129;15;133;75
190;56;190;170
186;185;185;72
106;25;173;171
82;171;97;78
187;197;113;76
190;30;35;143
33;167;193;194
103;156;147;16
59;168;133;128
40;131;183;172
167;164;93;25
149;78;140;58
36;179;191;138
181;63;18;134
164;106;21;105
25;193;175;179
53;175;22;172
90;127;29;185
151;192;76;121
42;98;74;39
25;120;92;168
39;136;94;190
118;76;169;66
91;30;193;31
16;167;145;26
166;133;107;84
46;101;116;93
56;93;141;188
105;66;11;49
44;11;146;178
169;146;75;194
109;115;69;47
23;183;91;189
162;48;199;132
23;61;96;14
57;62;110;69
84;75;100;51
199;136;190;97
49;84;118;148
66;118;126;171
122;197;196;168
78;21;110;62
159;24;76;132
159;181;131;132
173;49;110;172
171;117;88;129
12;197;106;188
141;196;149;99
176;92;125;122
92;16;146;180
143;121;164;182
147;161;96;79
147;162;15;35
174;76;123;184
57;111;136;175
36;15;83;107
48;46;163;109
15;126;109;140
155;46;34;118
129;93;194;41
55;171;42;148
123;174;125;20
162;58;42;30
45;124;46;54
104;143;147;197
21;154;120;36
123;195;157;23
113;28;38;162
104;32;193;42
200;52;157;166
135;147;196;109
56;91;133;46
13;18;139;155
49;33;128;84
63;113;192;101
53;116;48;38
30;106;193;106
69;125;100;81
123;110;130;36
98;188;155;137
177;38;68;112
122;46;112;54
17;90;165;79
43;130;60;156
97;182;53;101
183;127;111;59
174;49;177;153
160;71;97;112
113;79;118;92
199;155;169;164
136;131;94;65
129;64;140;78
69;35;133;170
10;42;163;136
98;139;93;166
179;80;190;196
64;167;49;126
168;161;28;91
171;76;31;71
143;159;178;118
185;36;129;191
142;79;62;131
70;30;186;138
164;145;102;72
21;156;185;105
172;149;175;162
48;63;27;12
182;165;48;67
178;89;184;132
97;74;78;122
182;136;34;172
118;187;50;127
19;78;82;65
30;119;123;80
75;174;165;11
103;58;85;119
52;129;178;180
63;107;82;13
21;124;99;166
143;179;127;29
67;53;107;170
21;13;125;18
26;140;150;71
129;95;20;47
89;86;82;169
93;171;163;184
152;93;119;147
31;63;99;28
83;184;103;75
91;106;81;11
174;187;132;68
191;62;196;80
168;176;12;59
128;92;139;161
185;48;23;150
126;16;116;196
169;70;114;19
149;183;137;102
51;73;114;87
153;16;106;63
167;50;178;121
98;197;56;198
36;11;99;79
22;162;82;83
38;26;124;42
165;20;136;192
77;177;46;100
121;166;76;137
75;183;128;136
138;180;88;39
64;119;102;146
164;174;114;157
68;150;65;63
106;142;189;197
66;78;136;49
195;40;108;37
125;115;54;11
200;51;57;163
22;51;34;167
192;34;52;49
151;139;76;45
196;134;10;17
85;90;91;193
44;198;93;19
45;34;108;124
46;96;151;15
26;27;109;83
172;72;136;179
63;59;55;103
27;149;195;155
29;163;164;80
63;47;28;78
77;71;195;50
88;179;138;72
62;11;192;153
90;166;53;162
15;196;131;89
44;170;142;29
11;137;97;52
129;131;188;28
54;116;160;16
84;57;118;153
53;141;146;169
111;14;99;69
81;79;162;185
120;182;64;74
172;21;26;111
86;117;131;78
11;77;131;32
73;20;189;121
85;34;199;165
28;174;118;200
163;151;169;78
71;137;60;81
121;195;153;19
156;10;25;169
31;170;150;87
44;110;184;100
40;100;98;146
82;166;188;172
102;15;100;74
64;58;59;185
56;72;18;147
133;81;20;99
